video_id,frame_count,clear_frames,imminent_frames,onset_frames,smoke_frames
video01,43326,39806,2308,48,1164
video02,70976,67918,1999,41,1018
video03,145701,144118,894,19,670
video04,38051,36118,1082,23,828
video05,58601,57183,750,15,653
video06,53826,52073,908,19,826
video07,113926,111546,1350,27,1003
video08,37976,36784,600,12,580
video09,67551,65704,1245,26,576
video10,43726,41476,1379,29,842
video11,80501,78653,1087,22,739
video12,27251,25814,900,18,519
video13,24526,23059,950,19,498
video14,42701,40814,956,20,911
video15,51451,49146,1495,30,780
video16,73926,71069,1750,37,1070
video17,32601,31003,1040,21,537
video18,48551,45865,1544,32,1110
video19,60601,59095,950,19,537
video20,36226,34731,846,19,630
video21,31451,30229,568,12,642
video22,38301,36557,950,19,775
video23,40876,38828,1240,26,782
video24,49376,47754,1075,22,525
video25,53226,50936,1169,24,1097
video26,44326,42810,950,19,547
video27,52101,50432,1046,21,602
video28,29976,28677,650,13,636
video29,58751,57379,700,14,658
video30,73126,71896,650,13,567
video31,98626,97578,476,11,561
video32,52901,51429,748,16,708
video33,32676,31542,622,13,499
video34,33076,31947,600,12,517
video35,52651,51608,495,11,537
video36,59676,58509,548,11,608
video37,30801,29487,677,14,623
video38,77001,75742,700,14,545
video39,41176,40157,500,10,509
video40,55551,54435,600,12,504
video41,77576,76368,650,13,545
video42,92801,91434,856,18,493
video43,59051,57471,900,18,662
video44,78176,76687,971,21,497
video45,84676,83113,971,20,572
video46,41326,40138,600,12,576
video47,56476,55281,650,13,532
video48,45851,44803,394,9,645
video49,41776,40415,850,17,494
video50,27351,26133,697,14,507
video51,73601,72147,866,18,570
video52,49151,47528,662,14,947
video53,82076,80884,686,14,492
video54,77501,76343,650,13,495
video55,25926,24584,817,17,508
video56,45851,44697,650,13,491
video57,65801,64819,400,8,574
video58,149826,148658,649,13,506
video59,26151,25363,278,6,504
video60,63301,62226,550,11,514
video61,110226,108810,850,17,549
video62,50801,49491,800,16,494
video63,85826,84794,522,11,499
video64,59951,59136,300,6,509
video65,46826,45640,650,13,523
video66,45601,44362,663,14,562
video67,58826,57643,650,13,520
video68,49301,48252,533,11,505
video69,114376,112998,850,17,511
video70,29851,28541,800,16,494
video71,62876,61708,650,13,505
video72,77651,76033,1100,22,496
video73,33901,32715,650,13,523
video74,40851,39106,1079,23,643
video75,48076,46961,800,16,299
video76,66226,65057,642,13,514
video77,62551,60931,1000,20,600
video78,18476,17176,650,13,637
video79,85351,83868,931,19,533
video80,43101,42592,300,6,203
