video_id,frame_count,clear_frames,imminent_frames,onset_frames,smoke_frames
video01,43326,38727,3387,48,1164
video02,70976,67006,2911,41,1018
video03,145701,143734,1278,19,670
video04,38051,35675,1525,23,828
video05,58601,56808,1125,15,653
video06,53826,51648,1333,19,826
video07,113926,110881,2015,27,1003
video08,37976,36484,900,12,580
video09,67551,65104,1845,26,576
video10,43726,40851,2004,29,842
video11,80501,78153,1587,22,739
video12,27251,25399,1315,18,519
video13,24526,22593,1416,19,498
video14,42701,40389,1381,20,911
video15,51451,48470,2171,30,780
video16,73926,70294,2525,37,1070
video17,32601,30505,1538,21,537
video18,48551,45150,2259,32,1110
video19,60601,58642,1403,19,537
video20,36226,34414,1163,19,630
video21,31451,29992,805,12,642
video22,38301,36088,1419,19,775
video23,40876,38228,1840,26,782
video24,49376,47267,1562,22,525
video25,53226,50440,1665,24,1097
video26,44326,42362,1398,19,547
video27,52101,49936,1542,21,602
video28,29976,28372,955,13,636
video29,58751,57029,1050,14,658
video30,73126,71571,975,13,567
video31,98626,97396,658,11,561
video32,52901,51079,1098,16,708
video33,32676,31262,902,13,499
video34,33076,31647,900,12,517
video35,52651,51383,720,11,537
video36,59676,58259,798,11,608
video37,30801,29187,977,14,623
video38,77001,75392,1050,14,545
video39,41176,39907,750,10,509
video40,55551,54135,900,12,504
video41,77576,76043,975,13,545
video42,92801,91009,1281,18,493
video43,59051,57021,1350,18,662
video44,78176,76212,1446,21,497
video45,84676,82638,1446,20,572
video46,41326,39870,868,12,576
video47,56476,54956,975,13,532
video48,45851,44653,544,9,645
video49,41776,39998,1267,17,494
video50,27351,25808,1022,14,507
video51,73601,71727,1286,18,570
video52,49151,47253,937,14,947
video53,82076,80579,991,14,492
video54,77501,76018,975,13,495
video55,25926,24209,1192,17,508
video56,45851,44372,975,13,491
video57,65801,64619,600,8,574
video58,149826,148358,949,13,506
video59,26151,25238,403,6,504
video60,63301,61951,825,11,514
video61,110226,108385,1275,17,549
video62,50801,49101,1190,16,494
video63,85826,84544,772,11,499
video64,59951,58986,450,6,509
video65,46826,45315,975,13,523
video66,45601,44037,988,14,562
video67,58826,57341,952,13,520
video68,49301,48002,783,11,505
video69,114376,112573,1275,17,511
video70,29851,28153,1188,16,494
video71,62876,61383,975,13,505
video72,77651,75487,1646,22,496
video73,33901,32411,954,13,523
video74,40851,38591,1594,23,643
video75,48076,46561,1200,16,299
video76,66226,64781,918,13,514
video77,62551,60431,1500,20,600
video78,18476,16903,923,13,637
video79,85351,83457,1342,19,533
video80,43101,42442,450,6,203
